150404F0211MDA01CG008HT0111PA01RAW00,double
150404F0211MDA02CG008HT0111PA01RAW00,double
150404F0211MDA03CG008HT0111PA01RAW00,double
150404F0211MDA04CG008HT0111PA01RAW00,double
150404F0211MDA05CG008HT0111PA01RAW00,double
150404F0211MDA06CG008HT0111PA01RAW00,double
150404F0211MDA07CG008HT0111PA01RAW00,double
150404F0211MDA08CG008HT0111PA01RAW00,double
150404F0211MDA09CG008HT0111PA01RAW00,double
150404F0211MDA10CG008HT0111PA01RAW00,double
150404F0211MDA11CG008HT0111PA01RAW00,double
150404F0211MDA17CG008HT0111PA01RAW00,double
150404F0211MDA18CG008HT0111PA01RAW00,double
150404F0211MDA19CG008HT0111PA01RAW00,double
150404F0211MDA28CG008HT0111PA01RAW00,double
150404F0211MDA29CG008HT0111PA01RAW00,double
150404F0211MDA31CG008HT0111PA01RAW00,double
150404F0212MDA12CG008HT0111PA01RAW00,double
150404F0212MDA13CG008HT0111PA01RAW00,double
150404F0212MDA14CG008HT0111PA01RAW00,double
150404F0212MDA15CG008HT0111PA01RAW00,double
150404F0212MDA16CG008HT0111PA01RAW00,double
150404F0212MDA20CG008HT0111PA01RAW00,double
150404F0212MDA21CG008HT0111PA01RAW00,double
150404F0212MDA22CG008HT0111PA01RAW00,double
150404F0212MDA23CG008HT0111PA01RAW00,double
150404F0212MDA24CG008HT0111PA01RAW00,double
150404F0212MDA25CG008HT0111PA01RAW00,double
150404F0212MDA26CG008HT0111PA01RAW00,double
150404F0212MDA27CG008HT0111PA01RAW00,double
150404F0212MDA30CG008HT0111PA01RAW00,double
150404F0212MDA32CG008HT0111PA01RAW00,double
150404F0212MDA33CG008HT0111PA01RAW00,double
150404F0213MDA34CG008HT0111PA01RAW00,double
150404F0213MDA35CG008HT0111PA01RAW00,double
150404F0213MDA36CG008HT0111PA01RAW00,double
150404F0213MDA37CG008HT0111PA01RAW00,double
150404F0213MDA38CG008HT0111PA01RAW00,double
150404F0213MDA39CG008HT0111PA01RAW00,double
150404F0213MDA40CG008HT0111PA01RAW00,double
150404F0213MDA41CG008HT0111PA01RAW00,double
150404F0213MDA42CG008HT0111PA01RAW00,double
150404F0213MDA43CG008HT0111PA01RAW00,double
150404F0213MDA44CG008HT0111PA01RAW00,double
150404F0213MDA45CG008HT0111PA01RAW00,double
150404F0213MDA46CG008HT0111PA01RAW00,double
150404F0213MDA47CG008HT0111PA01RAW00,double
